hotspot_id,feature_id,contrat_id,contrato,area_nombre,operador,estado_area,tipo_contrato,cuenca,proceso,distancia_m,clase_espacial
37405de759ae6a22034eb8ea,465,0235,MAGDALENA MEDIO,MAGDALENA MEDIO,ECOPETROL S.A.,PRODUCCION,CONVENIO DE EXPLOTACION,VMM,CONTRATACION DIRECTA,0.00,dentro
49a31a3be5f477a7003b165e,305,0514,VMM 14-1,NO APLICA,ECOPETROL S.A.,EXPLORACION,CONTRATO DE EVALUACION TECNICA ANH,VMM,RONDA COLOMBIA 2021,0.00,dentro
5531119a79be5744c4883a59,97,0787,PUT 36,NO APLICA,AMERISUR EXPLORACION COLOMBIA LIMITED,EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),CAG PUT,PPAA 2019 PRIMER CORTE,0.00,dentro
5531119a79be5744c4883a59,49,0104,MECAYA,NO APLICA,AMERISUR EXPLORACION COLOMBIA LIMITED,EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),CAG PUT,CONTRATACION DIRECTA,4707.35,entre_1_y_5_km
aa1b995a951cd96955260db5,465,0235,MAGDALENA MEDIO,MAGDALENA MEDIO,ECOPETROL S.A.,PRODUCCION,CONVENIO DE EXPLOTACION,VMM,CONTRATACION DIRECTA,0.00,dentro
aa1b995a951cd96955260db5,46,0143,LA ROMPIDA,LA ROMPIDA,ECOPETROL S.A.,PRODUCCION,CONVENIO DE EXPLOTACION,VMM,CONTRATACION DIRECTA,3803.93,entre_1_y_5_km
c8abfa636eda8944b6ccbd88,97,0787,PUT 36,NO APLICA,AMERISUR EXPLORACION COLOMBIA LIMITED,EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),CAG PUT,PPAA 2019 PRIMER CORTE,0.00,dentro
de0e45410e242dba55b8aab3,23,0037,BOCACHICO,NO APLICA,ECOPETROL S.A.,PRODUCCION,CONTRATO DE ASOCIACION CON ECOPETROL,VMM,NO APLICA,0.00,dentro
de0e45410e242dba55b8aab3,409,0210,VMM 12,WOLF,INGENIERIA CONSTRUCCIONES Y EQUIPOS CONEQUIPOS ING S.A.S.,EVALUACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),VMM,MINIRONDA 2008,2069.42,entre_1_y_5_km
f7af12b89da8e7d0236a0926,305,0514,VMM 14-1,NO APLICA,ECOPETROL S.A.,EXPLORACION,CONTRATO DE EVALUACION TECNICA ANH,VMM,RONDA COLOMBIA 2021,0.00,dentro
